id,school_id,date,date_precision,location,affected_communities,category,summary,source_ids,source_types,institutional_response,response_date,legal_status,verification_status,confidence,tags,created_at,updated_at,record_hash
evt_2026_0386,minneapolis_community_and_technical_college,2024-01-01,year,"MINNEAPOLIS, MN",LGBTQ+,Harassment or threat,ED campus safety data listed one reported on-campus hate-crime statistic for Minneapolis Community and Technical College: Intimidation characterized by LGBTQ+.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; intim-sex24,2026-06-03,2026-06-03,sha256:4a6f2e502617aed18b1520c02a71c07275e32a8ce464f719fbe9afa2bfe8a89d
evt_2026_0387,evangel_university_james_river_assembly_of_god_church,2024-01-01,year,"Springfield, MO",Gender,Harassment or threat,ED campus safety data listed one reported on-campus hate-crime statistic for Evangel University-James River Assembly of God Church: Intimidation characterized by Gender.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; intim-gen24,2026-06-03,2026-06-03,sha256:2a6eea09e46794f07507bcb1edd477baa91f41ba55bc5dc14eb26ef42f22e787
evt_2026_0388,elizabeth_city_state_university,2024-01-01,year,"Elizabeth City, NC",Ethnicity,Harassment or threat,ED campus safety data listed one reported on-campus hate-crime statistic for Elizabeth City State University: Intimidation characterized by Ethnicity.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; intim-et24,2026-06-03,2026-06-03,sha256:2b3f6b41a07fcb56ae9a40480776d70891865be5b87d7bf8e3ae320724167d3e
evt_2026_0389,caldwell_university,2024-01-01,year,"CALDWELL, NJ",National origin,Harassment or threat,ED campus safety data listed one reported on-campus hate-crime statistic for Caldwell University: Simple assault characterized by National origin.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; sim-a-nat24,2026-06-03,2026-06-03,sha256:c8df6dff3e615be397f3a8dfe7c8f9d293bd2ae0f68b1907d4363f7fead60a58
evt_2026_0390,st_john_s_university_new_york,2024-01-01,year,"JAMAICA, NY",Religion,Vandalism,ED campus safety data listed 3 reported on-campus hate-crime statistics for St. John's University-New York: Destruction/damage/vandalism characterized by Religion.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; vandal-rel24,2026-06-03,2026-06-03,sha256:bbccecb9955b4da4a8f2c97d94dc703cab8ffcae39687283aed6830cbd72bdee
evt_2026_0391,antioch_college,2024-01-01,year,"Yellow Springs, OH",Race,Vandalism,ED campus safety data listed one reported on-campus hate-crime statistic for Antioch College: Destruction/damage/vandalism characterized by Race.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; vandal-rac24,2026-06-03,2026-06-03,sha256:b602187e76b77d7313d8e9e0d47717b62afb13525fed4694234a44de664152a1
evt_2026_0392,western_oregon_university,2024-01-01,year,"Monmouth, OR",LGBTQ+,Vandalism,ED campus safety data listed 2 reported on-campus hate-crime statistics for Western Oregon University: Destruction/damage/vandalism characterized by LGBTQ+.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; vandal-gid24,2026-06-03,2026-06-03,sha256:f256eb9aca2b7dcfc0ab9a1b079ddf5ff2034b64c1480d1de1adbf86e5dddcbb
evt_2026_0393,bucks_county_community_college,2024-01-01,year,"Newtown, PA",Ethnicity,Vandalism,ED campus safety data listed one reported on-campus hate-crime statistic for Bucks County Community College: Destruction/damage/vandalism characterized by Ethnicity.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; vandal-et24,2026-06-03,2026-06-03,sha256:cd976414a70bb3ca284a08c7bc1b63dc1311c560c2cf5d67e5ba915656693d22
evt_2026_0394,johnson_and_wales_university_providence,2023-01-01,year,"Providence, RI",Religion,Harassment or threat,ED campus safety data listed one reported on-campus hate-crime statistic for Johnson & Wales University-Providence: Intimidation characterized by Religion.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2023-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; intim-rel23,2026-06-03,2026-06-03,sha256:941a07cf2b905efdb2d37d753d19daf23049113f481eb765ed9a32e4e080f779
evt_2026_0395,tri_county_technical_college,2022-01-01,year,"PENDLETON, SC",Race,Harassment or threat,ED campus safety data listed one reported on-campus hate-crime statistic for Tri-County Technical College: Intimidation characterized by Race.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2022-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; intim-rac22,2026-06-03,2026-06-03,sha256:40dfa012c9e5a7f41f2664ccb381e4705a0862b25f346ec09f023729de17c251
evt_2026_0396,tennessee_technological_university,2024-01-01,year,"COOKEVILLE, TN",Race,Harassment or threat,ED campus safety data listed one reported on-campus hate-crime statistic for Tennessee Technological University: Simple assault characterized by Race.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; sim-a-rac24,2026-06-03,2026-06-03,sha256:2f39973677c289b4aa977f2f689430e0b4513f56b651c49d0ef892262a56990e
evt_2026_0397,texas_state_university,2024-01-01,year,"SAN MARCOS, TX",Race,Harassment or threat,ED campus safety data listed 2 reported on-campus hate-crime statistics for Texas State University: Intimidation characterized by Race.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; intim-rac24,2026-06-03,2026-06-03,sha256:b82c6e48f730fcd195bf62ba02061e8e4be0c2f25b28dc276f7aa2a0efb093d1
evt_2026_0398,southern_utah_university,2023-01-01,year,"CEDAR CITY, UT",LGBTQ+,Other source-backed civil rights event,ED campus safety data listed one reported on-campus hate-crime statistic for Southern Utah University: Larceny-theft characterized by LGBTQ+.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2023-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; lar-t-sex23,2026-06-03,2026-06-03,sha256:2b9f11cf5e491883f89d6a4762e71086dfd13ee643c1f0da6e8ad3c4b57379ab
evt_2026_0399,northern_virginia_community_college,2024-01-01,year,"Alexandria, VA",Race,Harassment or threat,ED campus safety data listed one reported on-campus hate-crime statistic for Northern Virginia Community College: Intimidation characterized by Race.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; intim-rac24,2026-06-03,2026-06-03,sha256:49434b0dd6ce543edfcf4279a71847be97501b2c80c13352defd7a4dfb05cf0d
evt_2026_0400,bennington_college,2023-01-01,year,"Bennington, VT",LGBTQ+,Harassment or threat,ED campus safety data listed one reported on-campus hate-crime statistic for Bennington College: Intimidation characterized by LGBTQ+.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2023-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; intim-gid23,2026-06-03,2026-06-03,sha256:405fca1d03a2fc7c20d8eba3d20defcb9db1cdae28774211a1f98abf6a838521
evt_2026_0401,bellingham_technical_college,2024-01-01,year,"Bellingham, WA",Gender,Vandalism,ED campus safety data listed one reported on-campus hate-crime statistic for Bellingham Technical College: Destruction/damage/vandalism characterized by Gender.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; vandal-gen24,2026-06-03,2026-06-03,sha256:d82b57d947348581f97353093c1d638de9060c4a09d30d18a4b315cde4d1bb79
evt_2026_0402,university_of_wisconsin_eau_claire,2024-01-01,year,"Eau Claire, WI",LGBTQ+,Other source-backed civil rights event,ED campus safety data listed one reported on-campus hate-crime statistic for University of Wisconsin-Eau Claire: Larceny-theft characterized by LGBTQ+.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; lar-t-sex24,2026-06-03,2026-06-03,sha256:0031e3196f6d7bcda1fb8320a4181c14aea6db6beae0c0dd807004730b4566da
evt_2026_0403,loyola_marymount_university,2024-01-01,year,"LOS ANGELES, CA",LGBTQ+,Other source-backed civil rights event,ED campus safety data listed 2 reported on-campus hate-crime statistics for Loyola Marymount University: Larceny-theft characterized by LGBTQ+.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; lar-t-sex24,2026-06-03,2026-06-03,sha256:7c755786f7e60ff04f8f600f40d38f2f5b5bb9baf3b72fd7312f7d0f71133a32
evt_2026_0404,western_colorado_university,2023-01-01,year,"GUNNISON, CO",Gender,Vandalism,ED campus safety data listed 3 reported on-campus hate-crime statistics for Western Colorado University: Destruction/damage/vandalism characterized by Gender.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2023-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; vandal-gen23,2026-06-03,2026-06-03,sha256:9e16d343e302cfe6b649898a5e502a07e563fa83e7ef57d1c98ec47552008928
evt_2026_0405,flagler_college,2023-01-01,year,"SAINT AUGUSTINE, FL",Ethnicity,Vandalism,ED campus safety data listed one reported on-campus hate-crime statistic for Flagler College: Destruction/damage/vandalism characterized by Ethnicity.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2023-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; vandal-et23,2026-06-03,2026-06-03,sha256:65dde1e3297b87bb9fc98e67f5c46fb6e7f7e63c05225d3df59798532272ba21
evt_2026_0406,university_of_west_georgia,2024-01-01,year,"CARROLLTON, GA",Race,Harassment or threat,ED campus safety data listed one reported on-campus hate-crime statistic for University of West Georgia: Intimidation characterized by Race.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; intim-rac24,2026-06-03,2026-06-03,sha256:3f8b6d947452204c19081c552a235097f77d4252e569f0fd9c576593106b1624
evt_2026_0407,coe_college,2023-01-01,year,"CEDAR RAPIDS, IA",LGBTQ+,Vandalism,ED campus safety data listed one reported on-campus hate-crime statistic for Coe College: Destruction/damage/vandalism characterized by LGBTQ+.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2023-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; vandal-gid23,2026-06-03,2026-06-03,sha256:07527421996bcf06da2be95bdcda63146046eb0dfccf5c47ef614e3ef441a29a
evt_2026_0408,city_colleges_of_chicago_harry_s_truman_college,2024-01-01,year,"CHICAGO, IL",LGBTQ+,Harassment or threat,ED campus safety data listed one reported on-campus hate-crime statistic for City Colleges of Chicago-Harry S Truman College: Intimidation characterized by LGBTQ+.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; intim-gid24,2026-06-03,2026-06-03,sha256:f13ef550d5010b1816b5d1151d0deb2a00e9536ca46db35df70a7b009a303d90
evt_2026_0409,depauw_university,2022-01-01,year,"GREENCASTLE, IN",LGBTQ+,Harassment or threat,ED campus safety data listed 2 reported on-campus hate-crime statistics for DePauw University: Intimidation characterized by LGBTQ+.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2022-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; intim-sex22,2026-06-03,2026-06-03,sha256:35d6489c0273f79ae3c93ad02f5d21eda1de1416d0f9d6289f10cca58240612e
evt_2026_0410,massasoit_community_college,2024-01-01,year,"CANTON, MA",Race,Vandalism,ED campus safety data listed one reported on-campus hate-crime statistic for Massasoit Community College: Destruction/damage/vandalism characterized by Race.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; vandal-rac24,2026-06-03,2026-06-03,sha256:f13550c819afaec2f91aecf86cf296b4738a6baa960c14ad28f14abb8bad5162
evt_2026_0411,harford_community_college,2023-01-01,year,"BEL AIR, MD",Race,Vandalism,ED campus safety data listed one reported on-campus hate-crime statistic for Harford Community College: Destruction/damage/vandalism characterized by Race.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2023-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; vandal-rac23,2026-06-03,2026-06-03,sha256:10e5a82b41bfb5689647c770e8fcfdf244f2fba08c50dce6482e8c0abd8697aa
evt_2026_0412,kalamazoo_valley_community_college,2024-01-01,year,"Kalamazoo, MI",Ethnicity,Harassment or threat,ED campus safety data listed one reported on-campus hate-crime statistic for Kalamazoo Valley Community College: Intimidation characterized by Ethnicity.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; intim-et24,2026-06-03,2026-06-03,sha256:3b7d1b6c8a909e289822b073f2546f2e88c9e6d1e0d93f4652952a6aaa61a266
evt_2026_0413,riverland_community_college,2024-01-01,year,"Albert Lea, MN",LGBTQ+,Vandalism,ED campus safety data listed one reported on-campus hate-crime statistic for Riverland Community College: Destruction/damage/vandalism characterized by LGBTQ+.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; vandal-sex24,2026-06-03,2026-06-03,sha256:d963b906fdc7f8563bf23cf49f25c07d84606498a19a622a7427f7cc0653fe63
evt_2026_0414,lindenwood_university,2024-01-01,year,"Saint Charles, MO",Race,Vandalism,ED campus safety data listed one reported on-campus hate-crime statistic for Lindenwood University: Destruction/damage/vandalism characterized by Race.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; vandal-rac24,2026-06-03,2026-06-03,sha256:52cc0fe5b70e52338a324e1ed5ce757ee18710f3e343f0f6f252c203222380fe
evt_2026_0415,guilford_technical_community_college,2024-01-01,year,"Jamestown, NC",Race,Vandalism,ED campus safety data listed one reported on-campus hate-crime statistic for Guilford Technical Community College: Destruction/damage/vandalism characterized by Race.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; vandal-rac24,2026-06-03,2026-06-03,sha256:d66833c725687c6f5f166651ef1808ee60701e3051946b759d5e341c9a245ff7
evt_2026_0416,fairleigh_dickinson_university_florham_campus,2024-01-01,year,"MADISON, NJ",Race,Harassment or threat,ED campus safety data listed one reported on-campus hate-crime statistic for Fairleigh Dickinson University-Florham Campus: Intimidation characterized by Race.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; intim-rac24,2026-06-03,2026-06-03,sha256:fc6c25068fbff75ebbc9d68eeabc937a5695900e93b89421689f09cd46fdd5f3
evt_2026_0417,albany_medical_college,2024-01-01,year,"ALBANY, NY",Race,Harassment or threat,ED campus safety data listed 2 reported on-campus hate-crime statistics for Albany Medical College: Intimidation characterized by Race.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; intim-rac24,2026-06-03,2026-06-03,sha256:32cfe61151a1b953ea51c04f37310f5816c64fe8346f5715485eadf725df1317
evt_2026_0418,bluffton_university,2024-01-01,year,"BLUFFTON, OH",Gender,Other source-backed civil rights event,ED campus safety data listed one reported on-campus hate-crime statistic for Bluffton University: Fondling characterized by Gender.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; fond-gen24,2026-06-03,2026-06-03,sha256:338890341d6858b1de2223adedc5f9f4975d128e071d870563cdafd4a36488dc
evt_2026_0419,willamette_university,2024-01-01,year,"SALEM, OR",Race,Vandalism,ED campus safety data listed 2 reported on-campus hate-crime statistics for Willamette University: Destruction/damage/vandalism characterized by Race.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; vandal-rac24,2026-06-03,2026-06-03,sha256:7a3409cf259bf919939c44cf392bca2e0793c1f63e69f4482a6f7ad5c7d74b5c
evt_2026_0420,delaware_valley_university,2024-01-01,year,"DOYLESTOWN, PA",Gender,Vandalism,ED campus safety data listed one reported on-campus hate-crime statistic for Delaware Valley University: Destruction/damage/vandalism characterized by Gender.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; vandal-gen24,2026-06-03,2026-06-03,sha256:588a4d678de9ffc6244fa3b976fff986506846f99f7ee86a63cae026d5e476df
evt_2026_0421,rhodes_college,2023-01-01,year,"Memphis, TN",Race,Harassment or threat,ED campus safety data listed 2 reported on-campus hate-crime statistics for Rhodes College: Intimidation characterized by Race.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2023-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; intim-rac23,2026-06-03,2026-06-03,sha256:f0d9523153dc1f4f13a2692bf422b2326952edb2cedf90a68e05dd70f03dfb76
evt_2026_0422,university_of_north_texas,2024-01-01,year,"DENTON, TX",LGBTQ+,Other source-backed civil rights event,ED campus safety data listed 2 reported on-campus hate-crime statistics for University of North Texas: Larceny-theft characterized by LGBTQ+.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; lar-t-gid24,2026-06-03,2026-06-03,sha256:3ed7312ec6b57b40e9384cb3e26160fdf4185e981a50ce2ff5980312060fe63d
evt_2026_0423,utah_valley_university,2023-01-01,year,"OREM, UT",Ethnicity,Vandalism,ED campus safety data listed one reported on-campus hate-crime statistic for Utah Valley University: Destruction/damage/vandalism characterized by Ethnicity.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2023-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; vandal-et23,2026-06-03,2026-06-03,sha256:52b7f2670265a5999468f560c3cef6219ac80a77879955f405e75f3871d84536
evt_2026_0424,randolph_macon_college,2024-01-01,year,"Ashland, VA",Race,Harassment or threat,ED campus safety data listed one reported on-campus hate-crime statistic for Randolph-Macon College: Intimidation characterized by Race.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; intim-rac24,2026-06-03,2026-06-03,sha256:19602aed91ad0508f7a4cd2542c833fcd4e2f9956fb55cb400d02123477b1f17
evt_2026_0425,landmark_college,2022-01-01,year,"PUTNEY, VT",Race,Harassment or threat,ED campus safety data listed 2 reported on-campus hate-crime statistics for Landmark College: Intimidation characterized by Race.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2022-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; intim-rac22,2026-06-03,2026-06-03,sha256:d121da5f1fa72035adc81a99acaccac2d97f998d6bfac629f4d6514c33e8ee80
evt_2026_0426,orange_coast_college,2024-01-01,year,"COSTA MESA, CA",Race,Vandalism,ED campus safety data listed 2 reported on-campus hate-crime statistics for Orange Coast College: Destruction/damage/vandalism characterized by Race.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2024-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; vandal-rac24,2026-06-03,2026-06-03,sha256:ed982e89525994a268071eb898cd8f594b2dfc8a6073cfaf395a24aa75b8615a
evt_2026_0427,front_range_community_college,2023-01-01,year,"Fort Collins, CO",LGBTQ+,Vandalism,ED campus safety data listed 2 reported on-campus hate-crime statistics for Front Range Community College: Destruction/damage/vandalism characterized by LGBTQ+.,src_ed_campus_safety_2025_hate_crime_data_files,Government dataset,"The record summarizes a Department of Education Clery/campus-safety dataset cell and does not independently evaluate investigative, disciplinary, or institutional response outcomes.",2023-01-01,Reported in Department of Education campus safety hate-crime statistics,Verified from public source,Medium,ed-campus-safety-data; clery; hate-crime-statistics; on-campus; vandal-sex23,2026-06-03,2026-06-03,sha256:90003fc285eab76c339e15366c03b3e905b8dabec7cd6363152c9a07e0ca5048
